"Subject Area","School or College","Department or Institute","Former Name of Subject Area","class.code"
"Accounting (ACCT)","Business","Accounting","","ACCT"
"Administration","","","","Administration"
"African Studies (AFRI)","CLAS","African Studies","","AFRI"
"Agricultural and Resource Econmics (ARE)","CAHNR","Agricultural and Resource Economics","","ARE"
"Allied Health (AH)","CAHNR","Allied Health Sciences","","AH"
"American Studies (AMST)","CLAS","American Studies","","AMST"
"Animal Science (ANSC)","CAHNR","Animal Science","","ANSC"
"Anthropology (ANTH)","CLAS","Anthropology","","ANTH"
"Art (ART)","Fine Arts","Art and Art History","","ART"
"Art History (ARTH)","Fine Arts","Art and Art History","","ARTH"
"Basics (BASC)","","","","BASC"
"Biomedical Engineering (BME)","Engineering","Biomedical Engineering","","BME"
"Biostatistics (BIST)","","","","BIST"
"Business Administration (BADM)","Business","","","BADM"
"Business Law (BLAW)","Business","","","BLAW"
"Casework (CSWK)","","","","CSWK"
"Chemical Engineering (CHEG)","Engineering","Chemical, Materials and Biomolecular Engineering","","CHEG"
"Chemistry (CHEM)","CLAS","Chemistry","","CHEM"
"Civil and Environmental Engineering (CE)","Engineering","Civil and Envronmental Engineering","","CE"
"Classics and Ancient Mediterranean Studies (CAMS)","CLAS","Literatures, Cultures, and Languages","","CAMS"
"Clinical and Translational Research","CLTR","","","Clinical and Translational Research"
"Cognitive Science (COGS)","CLAS","","","COGS"
"Communication (COMM)","CLAS","Communication","","COMM"
"Community Organization (CORG)","","","","CORG"
"Comparative Literary and Cultural Studies (CLCS)","CLAS","Literatures, Cultures, and Languages","","CLCS"
"Computer Science and Engineering (CSE)","Engineering","Computer Science and Engineering","","CSE"
"Dental Science (DENT)","","","","DENT"
"Digital Media and Design (DMD)","Fine Arts","Digital Media and Design","","DMD"
"Direct Service Elective (DSEL)","","","","DSEL"
"Dramatic Arts (DRAM)","Fine Arts","Dramatic Arts","","DRAM"
"Ecology and Evolutionary Biology (EEB)","CLAS","Ecology and Evolutionary Biology","","EEB"
"Economics (ECON)","CLAS","Economics","","ECON"
"Education Curriculum and Instruction (EDCI)","Education","Curriculum and Instruction","","EDCI"
"Educational Leadership (EDLR)","Education","Educational Leadership","","EDLR"
"Educational Psychology (EPSY)","Education","Educational Psychology","","EPSY"
"Electrical and Computer Engineering (ECE)","Engineering","Electrical and Computer Engineering","","ECE"
"Engineering (ENGR)","Engineering","","","ENGR"
"English (ENGL)","CLAS","English","","ENGL"
"Environmental Engineering (ENVE)","Engineering","Civil and Environmental Engineering","","ENVE"
"Environmental Studies (EVST)","CAHNR/ CLAS","","","EVST"
"European Studies (ES)","CLAS","","","ES"
"Executive MBA (EMBA)","","","","EMBA"
"Field Education (FED)","","","","FED"
"Finance (FNCE)","Business","Finance","","FNCE"
"French (FREN)","CLAS","Literatures, Cultures, and Languages","","FREN"
"Geography (GEOG)","CLAS","Geography","","GEOG"
"Geoscience (GSCI)","CLAS","Geology and Geophysics","Geology (GEOL)","GSCI"
"German (GERM)","CLAS","Literatures, Cultures, and Languages","","GERM"
"Graduate Program in Professional Studies (GPPS)","","","","GPPS"
"Graduate School (GRAD)","","","","GRAD"
"Group Work (GRWK)","","","","GRWK"
"Healthcare Management and Insurance Studies (HCMI)","Business","","Health Systems Management (HSMG)","HCMI"
"Hebrew and Judaic Studies (HEJS)","CLAS","Literatures, Cultures, and Languages","Combined from both Hebrew Studies (HEB) and Judaic Studies (JUDS)","HEJS"
"History (HIST)","CLAS","History","","HIST"
"Homeland Security Leadership (HSL)","","","","HSL"
"Human Behavior Elective (HBEL)","","","","HBEL"
"Human Development and Family Studies (HDFS)","CLAS","Human Development and Family Studies","","HDFS"
"Human Rights (HRTS)","CLAS","Human Rights Institute","","HRTS"
"Humanitarian Services Administration (HSA)","","","","HSA"
"Independent Study (IS)","","","","IS"
"Information Science and Knowledge Management (ISKM)","","","","ISKM"
"International Studies (INTS)","","","","INTS"
"Italian Literary and Cultural Studies (ILCS)","CLAS","Literatures, Cultures, and Languages","","ILCS"
"Kinesiology (KINS)","CAHNR","Kinesiology","Education Kinesiology (EKIN)","KINS"
"Latino and Latin American Studies (LLAS)","CLAS","El Instituto","Combined from both Latin American Studies (LAMS) and Puerto Rican Studies (PRLS)","LLAS"
"Linguistics (LING)","CLAS","Linguistics","","LING"
"Literatures, Cultures, and Languages (LCL)","","","","LCL"
"Management (MGMT)","Business","Management","","MGMT"
"Marine Sciences (MARN)","CLAS","Marine Sciences","","MARN"
"Marketing (MKTG)","Business","Marketing","","MKTG"
"Materials Science and Engineering (MSE)","Engineering","Chemical, Materials and Biomolecular Engineering","","MSE"
"Mathematics (MATH)","CLAS","Mathematics","","MATH"
"Mechanical Engineering (ME)","Engineering","Mechanical Engineering","","ME"
"Medical Science (MED)","","","","MED"
"Molecular and Cell Biology (MCB)","CLAS","Molecular and Cell Biology","","MCB"
"Music (MUSI)","Fine Arts","Music","","MUSI"
