"Subject Area","School or College","Department or Institute","Former Name of Subject Area","class.code"
"Accounting (ACCT)","Business","Accounting","","ACCT"
"Africana Studies (AFRA)","CLAS","Africana Studies Institute","African American Studies (AFAM)","AFRA"
"African Studies (AFRI)","CLAS","African Studies","","AFRI"
"Agricultural and Resource Econmics (ARE)","CAHNR","Agricultural and Resource Economics","","ARE"
"Agriculture and Natural Resources (AGNR)","CAHNR","Natural Resources and the Environment","","AGNR"
"Air Force Studies (AIRF)","Provost/ UICC","","","AIRF"
"Allied Health (AH)","CAHNR","Allied Health Sciences","","AH"
"American Sign Language (ASLN)","CLAS","Linguistics","","ASLN"
"American Studies (AMST)","CLAS","American Studies","","AMST"
"Animal Science (ANSC)","CAHNR","Animal Science","","ANSC"
"Anthropology (ANTH)","CLAS","Anthropology","","ANTH"
"Arabic (ARAB)","CLAS","Literatures, Cultures, and Languages","","ARAB"
"Art (ART)","Fine Arts","Art and Art History","","ART"
"Art History (ARTH)","Fine Arts","Art and Art History","","ARTH"
"Asian and Asian American Studies Institute (AASI)","CLAS","Asian and Asian American Studies Institute","","AASI"
"Biology (BIOL)","CLAS","","","BIOL"
"Biomedical Engineering (BME)","Engineering","Biomedical Engineering","","BME"
"Business (BUSN)","Business","","","BUSN"
"Business Administration (BADM)","Business","","","BADM"
"Business Law (BLAW)","Business","","","BLAW"
"Chemical Engineering (CHEG)","Engineering","Chemical, Materials and Biomolecular Engineering","","CHEG"
"Chemistry (CHEM)","CLAS","Chemistry","","CHEM"
"Chinese (CHIN)","CLAS","Literatures, Cultures, and Languages","","CHIN"
"Civil and Environmental Engineering (CE)","Engineering","Civil and Envronmental Engineering","","CE"
"Classics and Ancient Mediterranean Studies (CAMS)","CLAS","Literatures, Cultures, and Languages","","CAMS"
"Cognitive Science (COGS)","CLAS","","","COGS"
"Communication (COMM)","CLAS","Communication","","COMM"
"Comparative Literary and Cultural Studies (CLCS)","CLAS","Literatures, Cultures, and Languages","","CLCS"
